TEXT	LEMMA	POS
nao	nao	ADV
superior	alto	ADJ
20	20	NUM
dias	dia	NOUN
I	I	PROPN
comunicar	comunicar	VERB
data	data	NOUN
modo	modo	NOUN
realizar	realizar	VERB
consulta	consulta	NOUN
efetuar	efetuar	VERB
reproducao	reproducao	NOUN
obter	obter	VERB
certidao	certidao	NOUN
II	II	ADJ
indicar	indicar	VERB
razoes	razoe	NOUN
fato	fato	NOUN
direito	direito	NOUN
recusa	recusa	NOUN
total	total	ADJ
parcial	parcial	ADJ
acesso	acesso	NOUN
pretendido	pretender	VERB
III	III	PROPN
comunicar	comunicar	VERB
nao	nao	PROPN
possui	possuir	VERB
informacao	informacao	NOUN
indicar	indicar	VERB
conhecimento	conhecimento	NOUN
orgao	orgao	NOUN
entidade	entidade	NOUN
detem	deter	VERB
remeter	remeter	VERB
requerimento	requerimento	NOUN
orgao	orgao	NOUN
entidade	entidade	NOUN
cientificando	cientificar	VERB
interessado	interessado	NOUN
remessa	remessa	NOUN
pedido	pedido	NOUN
informacao	informacao	NOUN
SS	SS	PROPN
2o	2o	PROPN
prazo	prazo	NOUN
referido	referir	VERB
SS	SS	PROPN
1o	1o	PROPN
podera	poderar	VERB
prorrogado	prorrogar	VERB
10	10	NUM
dias	dia	NOUN
mediante	mediante	ADP
justificativa	justificativa	NOUN
expressa	expresso	VERB
sera	sera	AUX
cientificado	cientificar	VERB
requerente	requerente	NOUN
SS	SS	PROPN
3o	3o	NUM
prejuizo	prejuizo	NOUN
seguranca	seguranca	NOUN
protecao	protecao	NOUN
informacoes	informacoe	NOUN
cumprimento	cumprimento	NOUN
legislacao	legislacao	NOUN
aplicavel	aplicavel	PROPN
orgao	orgao	NOUN
entidade	entidade	NOUN
podera	poderar	VERB
oferecer	oferecer	VERB
meios	meio	NOUN
proprio	proprio	NOUN
requerente	requerente	NOUN
possa	poder	VERB
pesquisar	pesquisar	VERB
informacao	informacao	NOUN
necessitar	necessitar	VERB
SS	SS	PROPN
4o	4o	ADJ
nao	nao	ADV
autorizado	autorizar	VERB
acesso	acesso	NOUN
tratar	tratar	VERB
informacao	informacao	NOUN
total	total	ADJ
parcialmente	parcialmente	ADV
sigilosa	sigiloso	ADJ
requerente	requerente	NOUN
devera	deverar	VERB
informado	informar	VERB
possibilidade	possibilidade	NOUN
recurso	recurso	NOUN
prazos	prazo	NOUN
condicoes	condicoe	NOUN
interposicao	interposicao	NOUN
devendo	dever	VERB
ser-lhe	ser-lhe	AUX
indicada	indicar	VERB
autoridade	autoridade	NOUN
competente	competente	ADJ
apreciacao	apreciacao	NOUN
SS	SS	PROPN
5o	5o	PROPN
informacao	informacao	NOUN
armazenada	armazenar	VERB
formato	formato	NOUN
digital	digital	ADJ
sera	sera	AUX
fornecida	fornecir	VERB
formato	formato	NOUN
caso	caso	SCONJ
haja	haver	VERB
anuencia	anuencia	NOUN
requerente	requerente	NOUN
SS	SS	PROPN
6o	6o	NUM
Caso	caso	SCONJ
informacao	informacao	NOUN
solicitada	solicitar	VERB
esteja	estar	AUX
disponivel	disponivel	ADJ
publico	publico	NOUN
formato	formato	NOUN
impresso	impresso	VERB
eletronico	eletronico	ADJ
outro	outro	DET
acesso	acesso	NOUN
universal	universal	ADJ
serao	serao	AUX
informados	informar	VERB
requerente	requerente	NOUN
escrito	escrito	NOUN
podera	poderar	VERB
consultar	consultar	VERB
obter	obter	VERB
reproduzir	reproduzir	VERB
referida	referir	VERB
informacao	informacao	NOUN
procedimento	procedimento	NOUN
desonerara	desonerar	VERB
orgao	orgao	NOUN
entidade	entidade	NOUN
publica	publicar	VERB
obrigacao	obrigacao	NOUN
fornecimento	fornecimento	NOUN
direto	direto	ADJ
salvo	salvo	SCONJ
requerente	requerente	NOUN
declarar	declarar	VERB
nao	nao	ADV
dispor	dispor	VERB
meios	meio	NOUN
realizar	realizar	VERB
si	si	PRON
procedimentos	procedimento	NOUN
ARTIGO_12	ARTIGO_12	PROPN
Art.	Art.	PROPN
12	12	NUM
servico	servico	NOUN
busca	busca	NOUN
fornecimento	fornecimento	NOUN
informacao	informacao	NOUN
gratuito	gratuito	ADJ
salvo	salvo	ADP
hipoteses	hipotese	NOUN
reproducao	reproducao	NOUN
documentos	documento	NOUN
orgao	orgao	NOUN
entidade	entidade	NOUN
publica	publicar	VERB
consultada	consultar	VERB
situacao	situacao	NOUN
podera	poderar	VERB
cobrado	cobrar	VERB
exclusivamente	exclusivamente	ADV
necessario	necessario	ADJ
ressarcimento	ressarcimento	NOUN
custo	custo	NOUN
servicos	servico	NOUN
materiais	material	NOUN
utilizados	utilizar	VERB
Vide	Vide	PROPN
Lei	Lei	PROPN
14.129	14.129	NUM
2021	2021	NUM
Vigencia	Vigencia	PROPN
Paragrafo	paragrafo	NOUN
unico	unico	ADJ
Estara	Estara	PROPN
isento	isento	VERB
ressarcir	ressarcir	VERB
custos	custo	NOUN
previstos	prever	VERB
caput	caput	NOUN
situacao	situacao	NOUN
economica	economico	ADJ
nao	nao	ADV
permita	permitir	VERB
faze-lo	faze lo	VERB
prejuizo	prejuizo	NOUN
sustento	sustento	NOUN
proprio	proprio	ADJ
familia	familia	PROPN
declarada	declarar	VERB
termos	termo	NOUN
Lei	Lei	PROPN
7.115	7.115	NUM
29	29	NUM
agosto	agosto	NOUN
1983	1983	NUM
ARTIGO_12	ARTIGO_12	PROPN
Art.	Art.	PROPN
12	12	NUM
servico	servico	NOUN
busca	busca	NOUN
fornecimento	fornecimento	NOUN
informacao	informacao	NOUN
gratuito	gratuito	ADJ
Redacao	Redacao	NOUN
dada	dar	VERB
Lei	Lei	PROPN
14.129	14.129	NUM
2021	2021	NUM
Vigencia	Vigencia	PROPN
SS	SS	PROPN
1o	1o	PROPN
orgao	orgao	NOUN
entidade	entidade	NOUN
podera	poderar	VERB
cobrar	cobrar	VERB
exclusivamente	exclusivamente	ADV
necessario	necessario	ADJ
ressarcimento	ressarcimento	NOUN
custos	custo	NOUN
servicos	servico	NOUN
materiais	material	NOUN
utilizados	utilizar	VERB
servico	servico	NOUN
busca	busca	NOUN
fornecimento	fornecimento	NOUN
informacao	informacao	NOUN
exigir	exigir	VERB
reproducao	reproducao	NOUN
documentos	documento	NOUN
orgao	orgao	NOUN
entidade	entidade	NOUN
publica	publicar	VERB
consultada	consultar	VERB
Incluido	Incluido	PROPN
Lei	Lei	PROPN
14.129	14.129	NUM
2021	2021	NUM
Vigencia	Vigencia	PROPN
SS	SS	PROPN
2o	2o	PROPN
Estara	Estara	PROPN
isento	isento	VERB
ressarcir	ressarcir	VERB
custos	custo	NOUN
previstos	prever	VERB
SS	SS	PROPN
1o	1o	PROPN
artigo	artigo	NOUN
situacao	situacao	NOUN
economica	economico	ADJ
nao	nao	ADV
permita	permitir	VERB
faze-lo	faze lo	VERB
prejuizo	prejuizo	NOUN
sustento	sustento	NOUN
proprio	proprio	ADJ
familia	familia	PROPN
declarada	declarar	VERB
termos	termo	NOUN
Lei	Lei	PROPN
7.115	7.115	NUM
29	29	NUM
agosto	agosto	NOUN
1983	1983	NUM
Incluido	Incluido	PROPN
Lei	Lei	PROPN
14.129	14.129	NUM
2021	2021	NUM
Vigencia	Vigencia	PROPN
ARTIGO_13	ARTIGO_13	PROPN
Art.	Art.	PROPN
13	13	NUM
tratar	tratar	VERB
acesso	acesso	NOUN
informacao	informacao	NOUN
contida	contir	VERB
documento	documento	NOUN
manipulacao	manipulacao	NOUN
possa	poder	VERB
prejudicar	prejudicar	VERB
integridade	integridade	NOUN
devera	deverar	ADJ
oferecida	oferecir	VERB
consulta	consulta	NOUN
copia	copia	NOUN
certificacao	certificacao	NOUN
confere	conferir	VERB
original	original	NOUN
Paragrafo	paragrafo	NOUN
unico	unico	ADJ
impossibilidade	impossibilidade	NOUN
obtencao	obtencao	NOUN
copias	copia	NOUN
interessado	interessado	NOUN
podera	poderar	VERB
solicitar	solicitar	VERB
expensas	expensa	NOUN
supervisao	supervisao	NOUN
servidor	servidor	NOUN
publico	publico	ADJ
reproducao	reproducao	NOUN
seja	ser	AUX
feita	fazer	VERB
outro	outro	DET
nao	nao	PROPN
ponha	ponha	VERB
risco	risco	NOUN
conservacao	conservacao	NOUN
documento	documento	NOUN
original	original	ADJ
ARTIGO_14	ARTIGO_14	PROPN
Art.	Art.	PROPN
14	14	NUM
direito	direito	NOUN
requerente	requerente	NOUN
obter	obter	VERB
inteiro	inteiro	ADJ
teor	teor	NOUN
decisao	decisao	NOUN
negativa	negativa	NOUN
acesso	acesso	NOUN
certidao	certidao	NOUN
copia	copia	NOUN
Secao	Secao	PROPN
II	II	PROPN
Recursos	Recursos	PROPN
ARTIGO_15	ARTIGO_15	PROPN
Art.	Art.	PROPN
15	15	NUM
caso	caso	NOUN
indeferimento	indeferimento	NOUN
acesso	acesso	NOUN
informacoes	informacoe	NOUN
razoes	razoes	PROPN
negativa	negativa	NOUN
acesso	acesso	NOUN
podera	poderar	VERB
interessado	interessado	NOUN
interpor	interpor	ADJ
recurso	recurso	NOUN
decisao	decisao	NOUN
prazo	prazo	NOUN
10	10	NUM
dias	dia	NOUN
contar	contar	VERB
ciencia	ciencia	NOUN
Paragrafo	paragrafo	NOUN
unico	unico	ADJ
recurso	recurso	NOUN
sera	sera	AUX
dirigido	dirigir	VERB
autoridade	autoridade	NOUN
hierarquicamente	hierarquicamente	ADV
superior	alto	ADJ
exarou	exarar	VERB
decisao	decisao	NOUN
impugnada	impugnar	VERB
devera	deverar	VERB
manifestar	manifestar	VERB
prazo	prazo	NOUN
5	5	NUM
dias	dia	NOUN
ARTIGO_16	ARTIGO_16	PROPN
Art.	Art.	PROPN
16	16	NUM
Negado	Negado	VERB
acesso	acesso	NOUN
informacao	informacao	NOUN
orgaos	orgao	NOUN
entidades	entidade	NOUN
Executivo	Executivo	PROPN
Federal	Federal	PROPN
requerente	requerente	NOUN
podera	poderar	VERB
recorrer	recorrer	VERB
Controladoria-Geral	Controladoria-Geral	PROPN
Uniao	Uniao	PROPN
deliberara	deliberar	VERB
prazo	prazo	NOUN
5	5	NUM
dias	dia	NOUN
I	I	PROPN
acesso	acesso	NOUN
informacao	informacao	NOUN
nao	nao	ADV
classificada	classificar	VERB
sigilosa	sigiloso	ADJ
negado	negar	VERB
II	II	ADJ
decisao	decisao	NOUN
negativa	negativa	NOUN
acesso	acesso	NOUN
informacao	informacao	NOUN
total	total	ADJ
parcialmente	parcialmente	ADV
classificada	classificar	VERB
sigilosa	sigiloso	ADJ
nao	nao	PRON
indicar	indicar	VERB
autoridade	autoridade	NOUN
classificadora	classificador	ADJ
hierarquicamente	hierarquicamente	ADV
superior	alto	ADJ
possa	poder	VERB
dirigido	dirigir	VERB
pedido	pedido	NOUN
acesso	acesso	NOUN
desclassificacao	desclassificacao	NOUN
III	III	PROPN
procedimentos	procedimento	NOUN
classificacao	classificacao	NOUN
informacao	informacao	NOUN
sigilosa	sigiloso	ADJ
estabelecidos	estabelecir	VERB
Lei	Lei	PROPN
nao	nao	ADV
tiverem	tiver	AUX
sido	ser	AUX
observados	observar	VERB
IV	IV	ADJ
estiverem	estiver	AUX
sendo	ser	AUX
descumpridos	descumprir	VERB
prazos	prazo	NOUN
procedimentos	procedimento	NOUN
previstos	prever	VERB
Lei	Lei	NOUN
SS	SS	PROPN
1o	1o	PROPN
recurso	recurso	NOUN
previsto	prever	VERB
artigo	artigo	NOUN
podera	poderar	VERB
dirigido	dirigir	VERB
Controladoria-Geral	Controladoria-Geral	PROPN
Uniao	Uniao	PROPN
submetido	submeter	VERB
apreciacao	apreciacao	VERB
autoridade	autoridade	NOUN
hierarquicamente	hierarquicamente	ADV
superior	alto	ADJ
exarou	exarar	VERB
decisao	decisao	NOUN
impugnada	impugnar	VERB
deliberara	deliberar	VERB
prazo	prazo	NOUN
5	5	NUM
dias	dia	NOUN
SS	SS	PROPN
2o	2o	PROPN
Verificada	Verificar	VERB
procedencia	procedencia	NOUN
razoes	razoe	PROPN
recurso	recurso	NOUN
Controladoria-Geral	Controladoria-Geral	PROPN
Uniao	Uniao	PROPN
determinara	determinar	VERB
orgao	orgao	NOUN
entidade	entidade	NOUN
adote	adotar	VERB
providencias	providencia	NOUN
necessarias	necessario	ADJ
cumprimento	cumprimento	NOUN
disposto	disposto	NOUN
Lei	Lei	PROPN
SS	SS	PROPN
3o	3o	PROPN
Negado	Negado	VERB
acesso	acesso	NOUN
informacao	informacao	NOUN
Controladoria-Geral	Controladoria-Geral	PROPN
Uniao	Uniao	PROPN
podera	poderar	VERB
interposto	interposto	VERB
recurso	recurso	NOUN
Comissao	Comissao	PROPN
Mista	Mista	PROPN
Reavaliacao	Reavaliacao	PROPN
Informacoes	Informacoes	PROPN
refere	referir	VERB
art.	art.	NOUN
35	35	NUM
ARTIGO_17	ARTIGO_17	PROPN
Art.	Art.	PROPN
17	17	NUM
caso	caso	NOUN
indeferimento	indeferimento	NOUN
pedido	pedido	NOUN
desclassificacao	desclassificacao	NOUN
informacao	informacao	NOUN
protocolado	protocolar	VERB
orgao	orgao	NOUN
administracao	administracao	NOUN
publica	publicar	VERB
federal	federal	ADJ
podera	poderar	VERB
requerente	requerente	ADJ
recorrer	recorrer	VERB
Ministro	Ministro	NOUN
area	area	NOUN
prejuizo	prejuizo	NOUN
competencias	competencia	NOUN
Comissao	Comissao	PROPN
Mista	Mista	PROPN
Reavaliacao	Reavaliacao	PROPN
Informacoes	Informacoes	PROPN
previstas	prever	VERB
art.	art.	NOUN
35	35	NUM
disposto	disposto	NOUN
art.	art.	NOUN
16	16	NUM
SS	SS	PROPN
1o	1o	PROPN
recurso	recurso	NOUN
previsto	prever	VERB
artigo	artigo	NOUN
podera	poderar	VERB
dirigido	dirigir	VERB
autoridades	autoridade	NOUN
mencionadas	mencionar	VERB
submetido	submeter	VERB
apreciacao	apreciacao	VERB
autoridade	autoridade	NOUN
hierarquicamente	hierarquicamente	ADV
superior	alto	ADJ
autoridade	autoridade	NOUN
exarou	exarar	VERB
decisao	decisao	NOUN
impugnada	impugnar	VERB
caso	caso	NOUN
Forcas	Forcas	PROPN
Armadas	Armadas	PROPN
respectivo	respectivo	ADJ
Comando	comando	NOUN
SS	SS	PROPN
2o	2o	PROPN
Indeferido	Indeferir	VERB
recurso	recurso	NOUN
previsto	prever	VERB
caput	caput	NOUN
tenha	ter	VERB
objeto	objeto	NOUN
desclassificacao	desclassificacao	NOUN
informacao	informacao	NOUN
secreta	secreto	ADJ
ultrassecreta	ultrassecreta	NOUN
cabera	cabera	VERB
recurso	recurso	NOUN
Comissao	Comissao	PROPN
Mista	Mista	PROPN
Reavaliacao	Reavaliacao	PROPN
Informacoes	Informacoes	PROPN
prevista	prever	VERB
art.	art.	NOUN
35	35	NUM
ARTIGO_18	ARTIGO_18	PROPN
Art.	Art.	PROPN
18	18	NUM
procedimentos	procedimento	NOUN
revisao	revisao	NOUN
decisoes	decisoe	NOUN
denegatorias	denegatorio	ADJ
proferidas	proferir	VERB
recurso	recurso	NOUN
previsto	prever	VERB
art.	art.	NOUN
15	15	NUM
revisao	revisao	NOUN
classificacao	classificacao	NOUN
documentos	documento	NOUN
sigilosos	sigiloso	ADJ
serao	serao	NOUN
objeto	objeto	NOUN
regulamentacao	regulamentacao	NOUN
propria	proprio	ADJ
Poderes	Poderes	PROPN
Legislativo	Legislativo	PROPN
Judiciario	Judiciario	PROPN
Ministerio	Ministerio	PROPN
Publico	Publico	PROPN
respectivos	respectivo	ADJ
ambitos	ambito	NOUN
assegurado	assegurar	VERB
solicitante	solicitante	NOUN
caso	caso	NOUN
direito	direito	NOUN
informado	informar	VERB
andamento	andamento	NOUN
pedido	pedido	NOUN
ARTIGO_19	ARTIGO_19	PROPN
Art.	Art.	PROPN
19	19	NUM
VETADO	VETADO	NOUN
SS	SS	PROPN
1o	1o	PROPN
VETADO	VETADO	NOUN
SS	SS	PROPN
2o	2o	PROPN
orgaos	orgao	NOUN
Judiciario	Judiciario	PROPN
Ministerio	Ministerio	PROPN
Publico	Publico	PROPN
informarao	informarao	ADJ
Nacional	Nacional	PROPN
Justica	Justica	PROPN
Nacional	Nacional	PROPN
Ministerio	Ministerio	PROPN
Publico	Publico	PROPN
respectivamente	respectivamente	ADV
decisoes	decisoe	NOUN
grau	grau	NOUN
recurso	recurso	NOUN
negarem	negar	VERB
acesso	acesso	NOUN
informacoes	informacoes	NOUN
interesse	interesse	NOUN
publico	publico	ADJ
ARTIGO_20	ARTIGO_20	NOUN
Art.	Art.	PROPN
20	20	NUM
Aplica-se	Aplica-se	VERB
subsidiariamente	subsidiariamente	ADV
couber	couber	VERB
Lei	Lei	PROPN
9.784	9.784	NUM
29	29	NUM
janeiro	janeiro	NOUN
1999	1999	NUM
procedimento	procedimento	NOUN
trata	tratar	VERB
Capitulo	Capitulo	NOUN
CAPITULO	CAPITULO	PROPN
IV	IV	ADJ
RESTRICOES	RESTRICOES	PROPN
ACESSO	ACESSO	NOUN
INFORMACAO	INFORMACAO	PROPN
Secao	Secao	PROPN
I	I	PROPN
Disposicoes	Disposicoes	PROPN
Gerais	Gerais	PROPN
ARTIGO_21	ARTIGO_21	PROPN
Art.	Art.	PROPN
21	21	NUM
Nao	nao	ADV
podera	poderar	VERB
negado	negar	VERB
acesso	acesso	NOUN
informacao	informacao	NOUN
necessaria	necessar	VERB
tutela	tutela	NOUN
judicial	judicial	ADJ
administrativa	administrativo	ADJ
direitos	direito	NOUN
fundamentais	fundamental	ADJ
Paragrafo	paragrafo	NOUN
unico	unico	ADJ
informacoes	informacoe	NOUN
documentos	documento	NOUN
versem	versar	VERB
condutas	conduta	NOUN
impliquem	impliquar	VERB
violacao	violacao	NOUN
direitos	direito	NOUN
humanos	humano	ADJ
praticada	praticar	VERB
agentes	agente	NOUN
publicos	publico	ADJ
mando	mar	VERB
autoridades	autoridade	NOUN
publicas	publico	ADJ
nao	nao	ADV
poderao	poderao	VERB
objeto	objeto	NOUN
restricao	restricao	NOUN
acesso	acesso	NOUN
ARTIGO_22	ARTIGO_22	PROPN
Art.	Art.	PROPN
22	22	NUM
disposto	disposto	NOUN
Lei	Lei	PROPN
nao	nao	ADV
exclui	excluir	VERB
hipoteses	hipotese	NOUN
legais	legal	ADJ
sigilo	sigilo	NOUN
segredo	segredo	NOUN
justica	justica	NOUN
hipoteses	hipotese	NOUN
segredo	segredo	NOUN
industrial	industrial	ADJ
decorrentes	decorrente	ADJ
exploracao	exploracao	NOUN
direta	direto	ADJ
atividade	atividade	NOUN
economica	economico	ADJ
pessoa	pessoa	NOUN
fisica	fisico	ADJ
entidade	entidade	NOUN
privada	privado	ADJ
tenha	ter	VERB
vinculo	vinculo	NOUN
publico	publico	ADJ
Secao	Secao	PROPN
II	II	PROPN
Classificacao	Classificacao	PROPN
Informacao	Informacao	PROPN
Grau	Grau	PROPN
Prazos	Prazos	PROPN
Sigilo	Sigilo	PROPN
ARTIGO_23	ARTIGO_23	PROPN
Art.	Art.	PROPN
23	23	NUM
Sao	Sao	NOUN
consideradas	considerar	VERB
imprescindiveis	imprescindivel	VERB
seguranca	seguranca	NOUN
sociedade	sociedade	NOUN
passiveis	passivel	ADJ
classificacao	classificacao	NOUN
informacoes	informacoe	NOUN
divulgacao	divulgacao	NOUN
acesso	acesso	NOUN
irrestrito	irrestrito	ADJ
possam	poder	VERB
I	I	PROPN
risco	risco	NOUN
defesa	defesa	NOUN
soberania	soberania	NOUN
nacionais	nacional	ADJ
integridade	integridade	NOUN
territorio	territorio	NOUN
nacional	nacional	ADJ
II	II	ADJ
prejudicar	prejudicar	VERB
risco	risco	NOUN
conducao	conducao	NOUN
negociacoes	negociacoe	NOUN
relacoes	relacoe	NOUN
internacionais	internacional	ADJ
Pais	Pais	PROPN
tenham	ter	AUX
sido	ser	AUX
fornecidas	fornecir	VERB
carater	carater	NOUN
sigiloso	sigiloso	ADJ
Estados	estado	NOUN
organismos	organismo	NOUN
internacionais	internacional	ADJ
III	III	PROPN
risco	risco	NOUN
vida	vida	NOUN
seguranca	seguranca	NOUN
saude	saude	NOUN
populacao	populacao	NOUN
IV	IV	PROPN
oferecer	oferecer	VERB
elevado	elevar	VERB
risco	risco	NOUN
estabilidade	estabilidade	NOUN
financeira	financeiro	ADJ
economica	economico	ADJ
monetaria	monetaria	NOUN
Pais	Pais	PROPN
V	V	NOUN
prejudicar	prejudicar	VERB
causar	causar	VERB
risco	risco	NOUN
planos	plano	NOUN
operacoes	operacoe	NOUN
estrategicos	estrategico	ADJ
Forcas	Forcas	PROPN
Armadas	Armadas	PROPN
VI	VI	ADJ
prejudicar	prejudicar	VERB
causar	causar	VERB
risco	risco	NOUN
projetos	projeto	NOUN
pesquisa	pesquisa	NOUN
desenvolvimento	desenvolvimento	NOUN
cientifico	cientifico	ADJ
tecnologico	tecnologico	NOUN
sistemas	sistema	NOUN
bens	bem	NOUN
instalacoes	instalacoe	NOUN
areas	area	NOUN
interesse	interesse	NOUN
estrategico	estrategico	NOUN
nacional	nacional	ADJ
VII	VII	ADJ
risco	risco	NOUN
seguranca	seguranca	NOUN
instituicoes	instituicoes	NOUN
altas	alto	ADJ
autoridades	autoridade	NOUN
nacionais	nacional	ADJ
estrangeiras	estrangeiro	ADJ
familiares	familiar	NOUN
VIII	VIII	ADJ
comprometer	comprometer	VERB
atividades	atividade	NOUN
inteligencia	inteligencia	NOUN
investigacao	investigacao	NOUN
fiscalizacao	fiscalizacao	NOUN
andamento	andamento	NOUN
relacionadas	relacionar	VERB
prevencao	prevencao	NOUN
repressao	repressao	NOUN
infracoes	infracoes	NOUN
ARTIGO_24	aRTIGO_24	PROPN
Art.	Art.	PROPN
24	24	NUM
informacao	informacao	NOUN
orgaos	orgao	NOUN
entidades	entidade	NOUN
publicas	publico	ADJ
observado	observar	VERB
teor	teor	NOUN
razao	razao	NOUN
imprescindibilidade	imprescindibilidade	NOUN
seguranca	seguranca	NOUN
sociedade	sociedade	NOUN
podera	poderar	VERB
classificada	classificar	VERB
ultrassecreta	ultrassecreta	NOUN
secreta	secreto	ADJ
reservada	reservar	VERB
SS	SS	PROPN
1o	1o	NUM
prazos	prazo	NOUN
maximos	maximo	ADJ
restricao	restricao	NOUN
acesso	acesso	NOUN
informacao	informacao	NOUN
conforme	conforme	SCONJ
classificacao	classificacao	NOUN
prevista	prever	VERB
caput	caput	NOUN
vigoram	vigorar	VERB
data	data	NOUN
producao	producao	NOUN
sao	sao	AUX
seguintes	seguinte	NOUN
I	I	PROPN
ultrassecreta	ultrassecreta	NOUN
25	25	NUM
anos	ano	NOUN
II	II	ADJ
secreta	secreto	ADJ
15	15	NUM
anos	ano	NOUN
III	III	PROPN
reservada	reservar	VERB
5	5	NUM
anos	ano	NOUN
SS	SS	PROPN
2o	2o	NUM
informacoes	informacoe	NOUN
puderem	puder	VERB
colocar	colocar	VERB
risco	risco	NOUN
seguranca	seguranca	NOUN
Presidente	presidente	NOUN
Vice-Presidente	Vice-Presidente	PROPN
Republica	Republica	PROPN
respectivos	respectivo	ADJ
conjuges	conjuge	NOUN
filhos(as	filhos(a	NOUN
serao	serao	NOUN
classificadas	classificar	VERB
reservadas	reservar	VERB
ficarao	ficarao	VERB
sigilo	sigilo	NOUN
ate	ate	PROPN
termino	termino	NOUN
mandato	mandato	NOUN
exercicio	exercicio	NOUN
ultimo	ultimo	ADJ
mandato	mandato	NOUN
caso	caso	NOUN
reeleicao	reeleicao	NOUN
SS	SS	PROPN
3o	3o	PROPN
Alternativamente	alternativamente	PROPN
prazos	prazo	NOUN
previstos	prever	VERB
SS	SS	PROPN
1o	1o	PROPN
podera	poderar	VERB
estabelecida	estabelecir	VERB
termo	termo	NOUN
restricao	restricao	NOUN
acesso	acesso	NOUN
ocorrencia	ocorrencia	NOUN
determinado	determinar	VERB
evento	evento	NOUN
ocorra	ocorrer	VERB
transcurso	transcurso	NOUN
prazo	prazo	NOUN
maximo	maximo	ADJ
classificacao	classificacao	NOUN
SS	SS	PROPN
4o	4o	PROPN
Transcorrido	Transcorrido	VERB
prazo	prazo	NOUN
classificacao	classificacao	NOUN
consumado	consumar	VERB
evento	evento	NOUN
defina	definer	VERB
termo	termo	NOUN
informacao	informacao	NOUN
tornar-se-a	tornar-se-a	ADV
automaticamente	automaticamente	ADV
acesso	acesso	NOUN
publico	publico	ADJ
SS	SS	PROPN
5o	5o	PROPN
classificacao	classificacao	NOUN
informacao	informacao	NOUN
determinado	determinar	VERB
grau	grau	NOUN
sigilo	sigilo	NOUN
devera	deverar	ADJ
observado	observar	VERB
interesse	interesse	NOUN
publico	publico	ADJ
informacao	informacao	NOUN
utilizado	utilizar	VERB
criterio	criterio	NOUN
restritivo	restritivo	ADJ
possivel	possivel	ADJ
considerados	considerar	VERB
I	I	PROPN
gravidade	gravidade	NOUN
risco	risco	NOUN
dano	dano	NOUN
seguranca	seguranca	NOUN
sociedade	sociedade	NOUN
II	II	PROPN
prazo	prazo	NOUN
maximo	maximo	ADJ
restricao	restricao	NOUN
acesso	acesso	NOUN
evento	evento	NOUN
defina	definir	VERB
termo	termo	NOUN
Secao	Secao	PROPN
III	III	PROPN
Protecao	Protecao	PROPN
Controle	Controle	PROPN
Informacoes	Informacoes	PROPN
Sigilosas	Sigilosas	PROPN
ARTIGO_25	aRTIGO_25	PROPN
Art.	Art.	PROPN
25	25	NUM
dever	dever	VERB
controlar	controlar	VERB
acesso	acesso	NOUN
divulgacao	divulgacao	NOUN
informacoes	informacoe	NOUN
sigilosas	sigiloso	ADJ
produzidas	produzir	VERB
orgaos	orgao	NOUN
entidades	entidade	NOUN
assegurando	assegurar	VERB
protecao	protecao	NOUN
Regulamento	Regulamento	NOUN
SS	SS	PROPN
1o	1o	PROPN
acesso	acesso	NOUN
divulgacao	divulgacao	NOUN
tratamento	tratamento	NOUN
informacao	informacao	NOUN
classificada	classificar	VERB
sigilosa	sigiloso	ADJ
ficarao	ficarao	NOUN
restritos	restrito	ADJ
pessoas	pessoa	NOUN
tenham	ter	VERB
necessidade	necessidade	NOUN
conhece-la	conhece-la	VERB
sejam	ser	AUX
devidamente	devidamente	ADV
credenciadas	credenciar	VERB
regulamento	regulamento	NOUN
prejuizo	prejuizo	NOUN
atribuicoes	atribuicoe	NOUN
agentes	agente	NOUN
publicos	publico	ADJ
autorizados	autorizar	VERB
lei	lei	NOUN
SS	SS	PROPN
2o	2o	PROPN
acesso	acesso	NOUN
informacao	informacao	NOUN
classificada	classificar	VERB
sigilosa	sigiloso	ADJ
cria	criar	VERB
obrigacao	obrigacao	NOUN
obteve	obter	VERB
resguardar	resguardar	VERB
sigilo	sigilo	NOUN
SS	SS	PROPN
3o	3o	PROPN
Regulamento	regulamento	NOUN
dispora	dispor	ADJ
procedimentos	procedimento	NOUN
medidas	medida	NOUN
serem	ser	AUX
adotados	adotar	VERB
tratamento	tratamento	NOUN
informacao	informacao	NOUN
sigilosa	sigiloso	ADJ
modo	modo	NOUN
protege-la	protege-la	VERB
perda	perda	NOUN
alteracao	alteracao	NOUN
indevida	indevida	ADJ
acesso	acesso	NOUN
transmissao	transmissao	VERB
divulgacao	divulgacao	NOUN
nao	nao	ADV
autorizados	autorizar	VERB
ARTIGO_26	ARTIGO_26	PROPN
Art.	Art.	PROPN
26	26	NUM
autoridades	autoridade	NOUN
publicas	publico	ADJ
adotarao	adotarao	VERB
providencias	providencia	NOUN
necessarias	necessario	ADJ
pessoal	pessoal	NOUN
subordinado	subordinar	VERB
hierarquicamente	hierarquicamente	ADV
conheca	conheca	VERB
normas	norma	NOUN
observe	observar	VERB
medidas	medida	NOUN
procedimentos	procedimento	NOUN
seguranca	seguranca	NOUN
tratamento	tratamento	NOUN
informacoes	informacoe	NOUN
sigilosas	sigiloso	ADJ
Paragrafo	paragrafo	NOUN
unico	unico	ADJ
